Date,Open,High,Low,Last,Close,Volume
7-4-2011,199.466003,202.632004,198.526001,200.257004,175.069916,1057763
7-5-2011,201.445007,203.483002,199.682999,201.237,175.926666,1030287
7-6-2011,201.781006,204.690002,200.257004,204.334,178.63414,1573685
7-7-2011,204.848007,208.766006,203.225006,208.360992,182.154633,1121518
7-8-2011,208.766006,212.505997,207.182999,208.429993,182.214966,1150070
7-11-2011,208.369995,210.289993,206.807007,208.677002,182.430908,730200
7-12-2011,205.184998,206.214005,198.990997,202.770004,177.266876,1815288
7-13-2011,203.798996,207.380997,202.929001,206.520004,180.545197,935827
7-14-2011,205.214005,213.119995,204.828003,210.537003,184.056976,1455069
7-15-2011,210.744995,211.733994,204.334,205.035995,179.247849,824165
7-18-2011,204.809006,207.281998,200.257004,201.059006,175.771072,1111244
7-19-2011,197.882996,198.466003,193.925003,194.707001,189.020462,2168619
7-20-2011,196.013,197.091003,190.957001,191.688995,186.090607,1247820
